file,slot,mean_x,mean_y,std_x,std_y,rank_std
skillcorner_match1899585_dynamic_train_attacker_centric.npz,7,51.579986572265625,33.2774658203125,23.425962448120117,21.767494201660156,2.006549625968475
skillcorner_match1899585_dynamic_train_attacker_centric.npz,8,58.82273864746094,34.6211051940918,22.30463409423828,15.911584854125977,2.573894457296865
skillcorner_match1899585_dynamic_train_attacker_centric.npz,9,42.70083236694336,27.947416305541992,22.60545539855957,10.654272079467773,1.7096159686401093
skillcorner_match1899585_dynamic_train_attacker_centric.npz,10,56.83485794067383,30.11363983154297,25.11479949951172,18.080307006835938,2.6971264358092775
skillcorner_match1925299_dynamic_train_attacker_centric.npz,0,50.02437210083008,24.78365135192871,20.310720443725586,13.993134498596191,1.4507516289945461
skillcorner_match1925299_dynamic_train_attacker_centric.npz,1,30.261899948120117,40.85314178466797,20.376325607299805,12.310652732849121,2.6183173966501467
skillcorner_match1925299_dynamic_train_attacker_centric.npz,2,53.37025451660156,35.17804718017578,20.247404098510742,14.264992713928223,1.4153197074672978
skillcorner_match1925299_dynamic_train_attacker_centric.npz,3,58.35442352294922,22.283153533935547,22.052921295166016,15.80383014678955,2.9051409272615483
skillcorner_match1925299_dynamic_train_attacker_centric.npz,4,30.390844345092773,39.510108947753906,21.10801887512207,9.819463729858398,1.1552885357468612
skillcorner_match1925299_dynamic_train_attacker_centric.npz,5,64.34017944335938,27.35872459411621,19.829910278320312,14.576541900634766,1.545127232395489
skillcorner_match1925299_dynamic_train_attacker_centric.npz,6,48.052757263183594,47.231754302978516,21.988792419433594,13.109758377075195,2.196410480680274
skillcorner_match1925299_dynamic_train_attacker_centric.npz,7,59.14205551147461,33.58229446411133,21.80343246459961,16.149539947509766,1.9020873031104877
skillcorner_match1925299_dynamic_train_attacker_centric.npz,8,57.04195785522461,30.824310302734375,25.784448623657227,11.273019790649414,3.9752524580308948
skillcorner_match1925299_dynamic_train_attacker_centric.npz,9,63.929710388183594,31.65976333618164,21.100902557373047,16.88167953491211,1.8100974972997212
skillcorner_match1925299_dynamic_train_attacker_centric.npz,10,49.5086555480957,35.17362976074219,21.494461059570312,16.231197357177734,3.4705119885939943
skillcorner_match1953632_dynamic_train_attacker_centric.npz,0,52.55851364135742,26.53070831298828,23.07592010498047,11.91835880279541,2.111411221061563
skillcorner_match1953632_dynamic_train_attacker_centric.npz,1,50.28518295288086,38.222679138183594,19.06319808959961,21.966474533081055,2.0601164338294162
skillcorner_match1953632_dynamic_train_attacker_centric.npz,2,60.49583435058594,18.417863845825195,20.95977210998535,13.401182174682617,2.0201468357822208
skillcorner_match1953632_dynamic_train_attacker_centric.npz,3,47.13999938964844,34.209922790527344,19.916166305541992,16.247295379638672,2.8531521878797452
skillcorner_match1953632_dynamic_train_attacker_centric.npz,4,51.10006332397461,24.81053352355957,19.8902587890625,20.421451568603516,2.170474900642477
skillcorner_match1953632_dynamic_train_attacker_centric.npz,5,62.54237747192383,40.760013580322266,18.178680419921875,12.107355117797852,1.994837344477726
skillcorner_match1953632_dynamic_train_attacker_centric.npz,6,55.68373107910156,44.679603576660156,22.17828941345215,15.777788162231445,2.6887765406539255
skillcorner_match1953632_dynamic_train_attacker_centric.npz,7,23.889074325561523,33.818973541259766,14.538779258728027,7.062960624694824,1.273744224657215
skillcorner_match1953632_dynamic_train_attacker_centric.npz,8,47.739501953125,41.41697311401367,22.57341957092285,14.05630111694336,2.203223290288348
skillcorner_match1953632_dynamic_train_attacker_centric.npz,9,64.8631820678711,35.09241485595703,19.010793685913086,13.379243850708008,1.5310736117806356
skillcorner_match1953632_dynamic_train_attacker_centric.npz,10,31.978755950927734,40.158756256103516,23.36405372619629,9.674570083618164,1.8510960544728823
skillcorner_match1996435_dynamic_train_attacker_centric.npz,0,44.34628677368164,27.647302627563477,23.56353187561035,12.73077392578125,2.037650050858986
skillcorner_match1996435_dynamic_train_attacker_centric.npz,1,64.6278305053711,32.39667892456055,20.200950622558594,14.447505950927734,1.827444439845268
skillcorner_match1996435_dynamic_train_attacker_centric.npz,2,57.18408966064453,24.88547706604004,22.546052932739258,12.25157356262207,2.441043469087924
skillcorner_match1996435_dynamic_train_attacker_centric.npz,3,62.428871154785156,38.902587890625,21.053829193115234,15.373239517211914,1.4268360005058167
skillcorner_match1996435_dynamic_train_attacker_centric.npz,4,51.15939712524414,21.99820899963379,21.20716094970703,17.710500717163086,2.2586485530471254
skillcorner_match1996435_dynamic_train_attacker_centric.npz,5,55.692901611328125,47.90073776245117,23.08395767211914,15.041385650634766,2.1964002082740968
skillcorner_match1996435_dynamic_train_attacker_centric.npz,6,62.08472442626953,31.253061294555664,21.155672073364258,14.580525398254395,2.1547272732093026
skillcorner_match1996435_dynamic_train_attacker_centric.npz,7,44.72932815551758,33.006080627441406,22.466474533081055,12.855569839477539,2.054662429293741
skillcorner_match1996435_dynamic_train_attacker_centric.npz,8,36.11159133911133,24.549474716186523,26.685407638549805,13.658173561096191,3.2335942849297723
