start_frame,end_frame,type,from_team,from_player,to_team,to_player,duration_frames
4387,4388,TURNOVER,Away,582974,Home,11117,1
4402,4403,TURNOVER,Home,11117,Away,33697,1
4411,4412,TURNOVER,Away,33697,Home,11117,1
4427,4455,TURNOVER,Home,11117,Away,582974,28
4517,4518,TURNOVER,Away,582974,Home,11885,1
4535,4536,TURNOVER,Home,11885,Away,133498,1
4572,4573,TURNOVER,Away,133498,Home,11885,1
4577,4578,TURNOVER,Home,11885,Away,582974,1
4597,4598,TURNOVER,Away,582974,Home,157294,1
4601,4602,PASS,Home,157294,Home,11117,1
4603,4604,TURNOVER,Home,11117,Away,23418,1
4614,4657,PASS,Away,23418,Away,33697,43
4675,4686,PASS,Away,33697,Away,285188,11
4714,4734,PASS,Away,285188,Away,33697,20
4767,4771,PASS,Away,33697,Away,51667,4
4829,4830,TURNOVER,Away,51667,Home,29075,1
4830,4831,TURNOVER,Home,29075,Away,14736,1
4841,4842,PASS,Away,14736,Away,133501,1
4851,4852,TURNOVER,Away,133501,Home,811820,1
4860,4861,TURNOVER,Home,811820,Away,133501,1
4868,4869,TURNOVER,Away,133501,Home,159688,1
4879,4880,PASS,Home,159688,Home,50955,1
4894,4895,TURNOVER,Home,50955,Away,38673,1
4898,4899,TURNOVER,Away,38673,Home,11117,1
4917,4918,TURNOVER,Home,11117,Away,23418,1
4939,4947,PASS,Away,23418,Away,582974,8
4950,4951,TURNOVER,Away,582974,Home,11885,1
4952,4953,TURNOVER,Home,11885,Away,582974,1
4957,4958,PASS,Away,582974,Away,133498,1
4973,4980,PASS,Away,133498,Away,33697,7
5021,5256,TURNOVER,Away,33697,Home,51685,1
5331,5333,PASS,Home,51685,Home,811820,2
5344,5345,TURNOVER,Home,811820,Away,133501,1
5347,5348,TURNOVER,Away,133501,Home,50955,1
5362,5363,TURNOVER,Home,50955,Away,4322,1
5364,5365,TURNOVER,Away,4322,Home,50955,1
5374,5375,TURNOVER,Home,50955,Away,133501,1
5412,5413,TURNOVER,Away,133501,Home,811820,1
