start_frame,end_frame,type,from_team,from_player,to_team,to_player,duration_frames
18887,18927,TURNOVER,Home,9,Away,25,40
18939,18945,TURNOVER,Away,25,Home,10,6
18956,18999,PASS,Home,10,Home,6,43
19006,19014,TURNOVER,Home,6,Away,23,8
19016,19017,TURNOVER,Away,23,Home,2,1
19020,19021,TURNOVER,Home,2,Away,23,1
19031,19042,TURNOVER,Away,23,Home,6,11
19067,19104,TURNOVER,Home,6,Away,19,37
19223,19249,PASS,Away,19,Away,18,26
19277,19289,PASS,Away,18,Away,19,12
19352,19353,TURNOVER,Away,19,Home,7,1
19360,19376,TURNOVER,Home,7,Away,20,16
19389,19407,PASS,Away,20,Away,23,18
19424,19433,TURNOVER,Away,23,Home,3,9
19451,19452,TURNOVER,Home,3,Away,24,1
19470,19471,TURNOVER,Away,24,Home,2,1
19477,19480,PASS,Home,2,Home,11,3
19500,19520,PASS,Home,11,Home,3,20
19532,19533,TURNOVER,Home,3,Away,21,1
19538,19566,TURNOVER,Away,21,Home,8,28
19582,19617,TURNOVER,Home,8,Away,20,35
19626,19627,TURNOVER,Away,20,Home,10,1
20154,20155,TURNOVER,Home,4,Away,19,1
20167,20172,PASS,Away,19,Away,20,5
20182,20183,PASS,Away,20,Away,15,1
20185,20186,PASS,Away,15,Away,20,1
20199,20207,TURNOVER,Away,20,Home,10,8
20210,20211,TURNOVER,Home,10,Away,21,1
20305,20317,PASS,Away,21,Away,19,12
20358,20361,TURNOVER,Away,19,Home,7,3
20372,20373,PASS,Home,7,Home,4,1
20479,20513,PASS,Home,4,Home,10,34
20524,20525,PASS,Home,10,Home,9,1
20564,20614,PASS,Home,9,Home,1,50
20632,20647,TURNOVER,Home,1,Away,17,15
20678,20710,PASS,Away,17,Away,22,32
20843,20845,PASS,Away,22,Away,20,2
20913,20955,PASS,Away,20,Away,15,42
21075,21080,PASS,Away,15,Away,21,5
21130,21131,TURNOVER,Away,21,Home,7,1
21142,21158,TURNOVER,Home,7,Away,23,16
21305,21310,PASS,Away,23,Away,21,5
21371,21382,PASS,Away,21,Away,20,11
21423,21431,PASS,Away,20,Away,19,8
21444,21446,PASS,Away,19,Away,20,2
21454,21460,TURNOVER,Away,20,Home,8,6
21481,21508,TURNOVER,Home,8,Away,20,27
21514,21515,PASS,Away,20,Away,19,1
21525,21545,PASS,Away,19,Away,16,20
21591,21626,PASS,Away,16,Away,17,35
21724,21742,PASS,Away,17,Away,16,18
21819,21854,TURNOVER,Away,16,Home,5,35
21863,21867,TURNOVER,Home,5,Away,22,4
21890,21891,TURNOVER,Away,22,Home,1,1
22585,22631,TURNOVER,Home,11,Away,24,46
22639,22664,TURNOVER,Away,24,Home,9,25
22665,22666,TURNOVER,Home,9,Away,22,1
22672,22673,TURNOVER,Away,22,Home,5,1
22675,22676,TURNOVER,Home,5,Away,22,1
22689,22730,PASS,Away,22,Away,20,41
22736,22737,TURNOVER,Away,20,Home,6,1
22740,22741,TURNOVER,Home,6,Away,20,1
22746,22747,PASS,Away,20,Away,21,1
22755,22756,PASS,Away,21,Away,20,1
22776,22788,PASS,Away,20,Away,19,12
22802,22811,PASS,Away,19,Away,16,9
22822,22831,PASS,Away,16,Away,21,9
23008,23038,PASS,Away,21,Away,15,30
23069,23081,PASS,Away,15,Away,21,12
23154,23171,PASS,Away,21,Away,20,17
23202,23233,PASS,Away,20,Away,17,31
23313,23317,PASS,Away,17,Away,21,4
23329,23339,PASS,Away,21,Away,20,10
23353,23382,PASS,Away,20,Away,16,29
23508,23524,PASS,Away,16,Away,15,16
23586,23610,PASS,Away,15,Away,18,24
23686,23687,TURNOVER,Away,18,Home,8,1
23698,23715,TURNOVER,Home,8,Away,21,17
23730,23731,TURNOVER,Away,21,Home,7,1
23741,23744,TURNOVER,Home,7,Away,19,3
23758,23762,PASS,Away,19,Away,21,4
23857,23859,TURNOVER,Away,21,Home,9,2
23866,23867,PASS,Home,9,Home,6,1
23903,23904,TURNOVER,Home,6,Away,19,1
23917,23918,TURNOVER,Away,19,Home,6,1
23922,23923,TURNOVER,Home,6,Away,24,1
23969,23973,PASS,Away,24,Away,18,4
24033,24034,TURNOVER,Away,18,Home,6,1
24044,24045,PASS,Home,6,Home,7,1
24051,24065,PASS,Home,7,Home,4,14
24081,24093,PASS,Home,4,Home,2,12
24107,24114,PASS,Home,2,Home,6,7
24129,24186,TURNOVER,Home,6,Away,16,57
24194,24215,PASS,Away,16,Away,19,21
24226,24236,PASS,Away,19,Away,21,10
24276,24282,PASS,Away,21,Away,19,6
24314,24315,PASS,Away,19,Away,21,1
24326,24336,PASS,Away,21,Away,24,10
24346,24347,TURNOVER,Away,24,Home,8,1
24359,24363,TURNOVER,Home,8,Away,18,4
24376,24378,PASS,Away,18,Away,23,2
24397,24398,TURNOVER,Away,23,Home,4,1
24413,24420,TURNOVER,Home,4,Away,18,7
24456,24459,TURNOVER,Away,18,Home,4,3
24468,24482,PASS,Home,4,Home,8,14
24551,24552,TURNOVER,Home,8,Away,23,1
24995,25015,TURNOVER,Home,4,Away,23,20
25019,25020,TURNOVER,Away,23,Home,10,1
25021,25022,TURNOVER,Home,10,Away,18,1
25028,25029,TURNOVER,Away,18,Home,10,1
25034,25035,TURNOVER,Home,10,Away,18,1
25036,25037,TURNOVER,Away,18,Home,10,1
25484,25512,PASS,Home,7,Home,6,28
25553,25575,PASS,Home,6,Home,1,22
25703,25704,TURNOVER,Home,1,Away,22,1
26551,26587,PASS,Home,6,Home,10,36
26596,26604,TURNOVER,Home,10,Away,22,8
26605,26606,TURNOVER,Away,22,Home,8,1
26615,26616,TURNOVER,Home,8,Away,25,1
27254,27272,TURNOVER,Away,25,Home,9,18
27283,27295,TURNOVER,Home,9,Away,19,12
27305,27324,PASS,Away,19,Away,18,19
27327,27328,TURNOVER,Away,18,Home,4,1
27340,27393,TURNOVER,Home,4,Away,21,53
27421,27452,PASS,Away,21,Away,22,31
27544,27552,PASS,Away,22,Away,21,8
27586,27587,TURNOVER,Away,21,Home,7,1
27592,27598,TURNOVER,Home,7,Away,23,6
27614,27615,TURNOVER,Away,23,Home,7,1
27619,27620,TURNOVER,Home,7,Away,21,1
27666,27668,PASS,Away,21,Away,19,2
27718,27722,TURNOVER,Away,19,Home,5,4
