start_frame,end_frame,type,from_team,from_player,to_team,to_player,duration_frames
7874,7875,TURNOVER,Away,17,Home,9,1
7886,7887,PASS,Home,9,Home,5,1
7888,7889,TURNOVER,Home,5,Away,23,1
7905,7906,TURNOVER,Away,23,Home,6,1
8163,8183,PASS,Home,6,Home,4,20
8317,8318,TURNOVER,Home,4,Away,19,1
8333,8334,PASS,Away,19,Away,15,1
8389,8390,PASS,Away,15,Away,21,1
8405,8406,PASS,Away,21,Away,20,1
8426,8427,PASS,Away,20,Away,21,1
8479,8480,TURNOVER,Away,21,Home,6,1
8480,8481,TURNOVER,Home,6,Away,21,1
8487,8488,TURNOVER,Away,21,Home,6,1
8491,8492,PASS,Home,6,Home,8,1
8515,8516,TURNOVER,Home,8,Away,15,1
8529,8530,TURNOVER,Away,15,Home,8,1
8539,8540,TURNOVER,Home,8,Away,19,1
8569,8570,TURNOVER,Away,19,Home,4,1
8577,8578,TURNOVER,Home,4,Away,24,1
8726,8727,TURNOVER,Home,4,Away,24,1
8743,8744,TURNOVER,Away,24,Home,6,1
8841,8842,PASS,Home,6,Home,5,1
8918,8919,TURNOVER,Home,5,Away,23,1
8926,8927,TURNOVER,Away,23,Home,6,1
9004,9006,PASS,Home,6,Home,4,2
9139,9140,PASS,Home,4,Home,8,1
9191,9192,PASS,Home,8,Home,4,1
9276,9277,PASS,Home,4,Home,3,1
9346,9358,PASS,Home,3,Home,5,12
9414,9415,PASS,Home,5,Home,1,1
9463,9464,TURNOVER,Home,1,Away,22,1
9470,9471,TURNOVER,Away,22,Home,5,1
9478,9479,TURNOVER,Home,5,Away,23,1
9501,9510,TURNOVER,Away,23,Home,3,9
9533,9534,PASS,Home,3,Home,6,1
9583,9584,PASS,Home,6,Home,3,1
9600,9601,PASS,Home,3,Home,2,1
9628,9631,PASS,Home,2,Home,4,3
9700,9702,PASS,Home,4,Home,10,2
9778,9793,PASS,Home,10,Home,8,15
9906,9907,TURNOVER,Home,8,Away,15,1
9907,9908,PASS,Away,15,Away,19,1
9914,9915,PASS,Away,19,Away,16,1
9916,9917,TURNOVER,Away,16,Home,9,1
9918,9919,TURNOVER,Home,9,Away,17,1
9926,9927,TURNOVER,Away,17,Home,9,1
9930,9931,TURNOVER,Home,9,Away,16,1
9934,9935,TURNOVER,Away,16,Home,10,1
10476,10478,PASS,Home,5,Home,8,2
10492,10493,TURNOVER,Home,8,Away,24,1
10495,10496,PASS,Away,24,Away,15,1
10503,10504,TURNOVER,Away,15,Home,7,1
10506,10507,PASS,Home,7,Home,10,1
10511,10512,TURNOVER,Home,10,Away,23,1
10515,10516,PASS,Away,23,Away,15,1
10527,10528,TURNOVER,Away,15,Home,8,1
10540,10541,TURNOVER,Home,8,Away,24,1
10732,10747,PASS,Home,4,Home,2,15
10902,10905,PASS,Home,2,Home,6,3
11012,11013,TURNOVER,Home,6,Away,23,1
11020,11021,PASS,Away,23,Away,20,1
11022,11023,TURNOVER,Away,20,Home,5,1
11066,11067,TURNOVER,Home,5,Away,20,1
11086,11090,PASS,Away,20,Away,16,4
11157,11158,TURNOVER,Away,16,Home,6,1
11161,11162,TURNOVER,Home,6,Away,24,1
11180,11182,TURNOVER,Away,24,Home,4,2
11291,11303,PASS,Home,4,Home,8,12
11405,11406,PASS,Home,8,Home,4,1
11453,11454,TURNOVER,Home,4,Away,20,1
11468,11469,PASS,Away,20,Away,22,1
11650,11651,TURNOVER,Home,7,Away,22,1
11671,11672,TURNOVER,Away,22,Home,10,1
11690,11691,PASS,Home,10,Home,7,1
11696,11697,PASS,Home,7,Home,5,1
11725,11726,TURNOVER,Home,5,Away,20,1
11736,11737,TURNOVER,Away,20,Home,9,1
11819,11820,TURNOVER,Home,9,Away,16,1
11836,11837,PASS,Away,16,Away,15,1
11856,11865,TURNOVER,Away,15,Home,8,9
